municipality,name,facility_type,address,neighborhood,cep,phone,email,opening_hours,categories,source
Alto Jequitibá,CRAS Casa das Famílias (Alto Jequitibá),CRAS,"Avenida Catarina Eller, 281",Centro,36976-000,(33) 33431552,crascoordenacao1@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Alto Rio Doce,CRAS Casa da Família de Alto Rio Doce-MG (Alto Rio Doce),CRAS,"Rua Dr. João Batista Viana, 416",Centro,36260-000,(32) 33451981,secretaria.assistenciasocial@altoriodoce.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Alvarenga,CRAS Alvarenga,CRAS,"Avenida Silvia Araujo de Souza, 38",Nossa Senhora das Graças,35249-000,(33) 30388096,assistenciasocial@alvarenga.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Alvinópolis,CRAS Alvinópolis,CRAS,"Rua Fonseca, 255",Centro,35950-000,(31) 38552316,acaosocialalvinopolis@outlook.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Alvorada de Minas,CRAS Alvorada de Minas,CRAS,"Rua Padre Paraiso, 239",Centro,39140-000,(31) 985120797,cras_alvorada@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Amparo do Serra,CRAS Casa da Família (Amparo do Serra),CRAS,"Rua Maria Lima, 18",Conceição,35444-000,(31) 38955121,cras@amparodoserra.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Andradas,CRAS Andradas,CRAS,Rua Argemiro Pereira de Oliveira,Horto,37795-000,(35) 37315122,supervisao.cras@andradas.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Andrelândia,CRAS Teresa Neuman Alves Pereira Carvalho (Andrelândia),CRAS,"Rua Arthur Monteiro de Carvalho, 150",Santos Dumont,37300-000,(35) 34390006,cras01@andrelandia.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Andrelândia,CRAS Jose Maria Meireles de Carvalho (Andrelândia),CRAS,"Rua Jose Sergio Basilio, 45",Belo Horizonte Ii,37300-000,(35) 33251850,crasandrelandia@dreamnet.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Angelândia,CRAS Angelândia,CRAS,"Rua Padre José Batista, 36",Planalto,39685-000,(33) 40422797,crasangelandia2020@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Antônio Carlos,CRAS Antônio Carlos,CRAS,"Rua Coronel José Gonçalves de Araújo, 231",Sagrada Família,36220-000,(32) 080032125,smas@municipioantoniocarlos.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Antônio Dias,CRAS Bem Viver (Antônio Dias),CRAS,"Rua Carvalho de Brito, 80",Centro,35177-000,(31) 986950300,conselhosmunicipais.ad@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Antônio Prado de Minas,CRAS Prefeito Jose Levindo Fumian (Antônio Prado de Minas),CRAS,"Rua Prefeito Eurípedes Carlos de Abreu, 120",Centro,36850-000,(32) 37251014,socialgestao2025@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Araçaí,CRAS Araçaí,CRAS,"Rua Inácio Rocha, 326",Centro,35777-000,(31) 37156139,crasaracai@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Aracitaba,CRAS Ana Neves de Melo (Aracitaba),CRAS,"Rua Joaquim André Fernandes, 62",Bairro Nossa Senhora de Lourdes,36255-000,(32) 32561108,social@aracitaba.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Araçuaí,CRAS Canoeiro (Araçuaí),CRAS,"Rua Vitória, 67",Nova Terra,39600-000,(33) 37312511,cras.canoeiro@aracuai.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Araçuaí,CRAS Maria Natividade (Araçuaí),CRAS,"Avenida Dr.nuno Melo, 78",Centro,39600-000,(33) 37311236,cras.marianatividade@aracuai.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Araguari,CRAS Araguari,CRAS,"Rua Adolfo Carlos Carísio, 140",Industrial,38442-038,(34) 984022131,crasteritorioum@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Araguari,CRAS Araguari - Alan Kardec,CRAS,"Rua Terezinha Machado da Silva, 291",Alan Kardec,38440-133,(34) 984037517,crasterritorio2@yahoo.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Araguari,CRAS Araguari - Independencia,CRAS,"Rua Oziano Moreira de Almeida, 10",Independencia,38443-106,(34) 998924141,asocial@araguari.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Araguari,CRAS Araguari - Monte Moria,CRAS,Rua Dr. Sebastião Campos,Monte Moria,38441-310,(34) 999486485,cras5araguari@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Araguari,CRAS Araguari - Milenium,CRAS,"Rua Santa Catarina, 515",Milenium,38447-023,(34) 984397985,cras3araguari@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Arantina,CRAS Dona Tereza Maria Gonçalves (Arantina),CRAS,"Rua Francisco Fernandes Alves, 123",Centro,37360-000,(32) 32961421,cras@arantina.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Araponga,CRAS Cantinho do Céu (Araponga),CRAS,Rua Gabriel Lopes Leles,Centro,36594-000,(31) 38941235,crasaraponga@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Araporã,CRAS Araporã,CRAS,"Rua Gabriel Dias, 111",Centro,38465-000,(34) 32849530,cras@arapora.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Arapuá,CRAS Colmeia (Arapuá),CRAS,"Avenida Eduardo Augusto de Medeiros, 1101",Centro,38860-000,(34) 38561227,social@arapua.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Araújos,CRAS Araújos,CRAS,"Rua São Vicente, 1201",Centro,35603-000,(37) 32881527,crasaraujos@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Araxá,CRAS Abolição (Araxá),CRAS,"Rua Marcolino Coelho Borges, 390",Abolição,38180-226,(34) 36680593,crasabolicao@araxa.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Araxá,CRAS Bom Jesus (Araxá),CRAS,"Rua Jason Armando de Paula, 117",Bom Jesus,38181-020,(34) 36699433,crasbomjesus@araxa.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Araxá,CRAS Centro (Araxá),CRAS,"Rua Dr Garibaldi Cunha, 10",Centro,38183-040,(34) 36680596,crascentro@araxa.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Araxá,CRAS Pão de Açucar (Araxá),CRAS,"Rua Eurindo Barbosa de Lacerda, 245",Pão de Açúcar,38181-578,(34) 36680595,craspaodeacucar@araxa.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Arceburgo,CRAS Arceburgo,CRAS,"Rua Nicolau Jacob, 165",Vila Centenária,37820-000,(35) 997538085,pmassistencia@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Arcos,CRAS Brasília (Arcos),CRAS,"Rua Tenente Florencionunes, 222",Brasília,35600-322,(37) 33522564,crasarcos@arcos.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Areado,CRAS Areado,CRAS,"Rua Alferes José Joaquim da Cunha Bastos, 401",São Vicente,37140-000,(35) 32932983,crasdeareado@hotmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Argirita,CRAS Rosario (Argirita),CRAS,"Rua Rosário, 10",Centro,36710-000,(32) 080003104,assistenciasocial@argirita.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Aricanduva,CRAS Aricanduva,CRAS,"Avenida Brasil, 212",Alvorada,39678-000,(33) 35159187,cras@aricanduva.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Arinos,CRAS I (Arinos),CRAS,"Rua: Natalia Carvalho Chaves, 3",Crispim Santna,38680-000,(38) 34600137,cras1@arinos.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Arinos,CRAS II Vida Nova (Arinos),CRAS,"Avenida Garibaldina Fernandes Valadares, 520",Primavera I,38680-000,(38) 36351060,cras2@arinos.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Astolfo Dutra,CRAS Astolfo Dutra,CRAS,"Rua Liberato Antonio da Cunha, 159",Nossa Senhora de Fatima,36780-000,(32) 34511830,crassocialad@yahoo.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Ataléia,CRAS Ataléia,CRAS,"Avenida Do Contorno, 667",Cidade Nova,39850-000,(33) 987589599,crasataleia@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Augusto de Lima,CRAS Helena (Augusto de Lima),CRAS,"Rua Placidino Martins, 157",Santa Helena,39219-000,(38) 34010012,crasaugusto@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Baependi,CRAS Baependi,CRAS,"Rua Doze, 360",Serra de Santa Maria,37443-000,(35) 920015684,crasfabianoviotti@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Baependi,CRAS Baependi - Cohab,CRAS,"Rua Professora Marizinha de Seixas, 119",Cohab,37443-000,(35) 920017459,cohabcoordenacao@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Baldim,CRAS Casa da Família (Baldim),CRAS,"Rua Francisco de Assis, 289",Centro,35732-000,(31) 983907441,assistenciasocialbaldim@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bambuí,"CRAS Bambui "" Sandro Carvalho"" (Bambuí)",CRAS,"Rua Zacarias Rodrigues, 165",Nossa Senhora das Graças,38900-000,(37) 999145878,cras@bambui.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bandeira,CRAS Casa das Familias (Bandeira),CRAS,"Rua Belizario Amaral, 40",Centro,39917-000,(33) 37281283,assistenciasocial@bandeira.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bandeira do Sul,CRAS Manoel Pereira Dias (Bandeira do Sul),CRAS,"Rua Presidente Tancredo Neves, 200",Centro,37740-000,(35) 37421892,cras@bandeiradosul.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Barão de Cocais,CRAS Barão de Cocais,CRAS,"Rua Joaquim do Carmo Goncalves, 674",São Miguel,35970-000,(31) 38377618,cras.pmbc@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Barão do Monte Alto,CRAS Barão do Monte Alto,CRAS,"Rua Antônio José Gonçalves, 837",Centro,36870-000,(32) 37271025,assistenciasocial@baraodomontealto.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Barbacena,CRAS Nova Cidade (Barbacena),CRAS,Rua São Paulo da Cruz,Ipanema,36205-527,(32) 33392025,cras.novacidade@barbacena.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Barbacena,CRAS São Pedro (Barbacena),CRAS,"Praça José Serapio da Silva, 673",São Pedro,36204-214,(32) 33392079,cras.saopedro@barbacena.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Barbacena,CRAS Santa Maria (Barbacena),CRAS,"Avenida Marcolino Rodrigues Campos, 8",João Paulo Ii,36202-732,(32) 31981171,desenvolvimento.social@barbacena.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Barra Longa,CRAS Viva Feliz (Barra Longa),CRAS,"Rua Getúlio Etrusco, 50",Centro,35447-000,(31) 38775204,semasbarralonga.2015@gmail.com,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Barroso,CRAS Casa das famílias (Barroso),CRAS,"Rua Joaquim Meireles, 20",Centro,36212-000,(32) 33514875,protecaosocialbasica@barroso.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bela Vista de Minas,CRAS Senhor do Bonfim (Bela Vista de Minas),CRAS,"Rua Guilherme Machado, 220",Senhor do Bonfim,35938-000,(31) 38531185,crasbonfim@belavistademinas.mg.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Bela Vista de Minas,CRAS Lages (Bela Vista de Minas),CRAS,"Rua Joaquim Gomes, 135",Lages,35938-000,(31) 39531023,dasbvm@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belmiro Braga,CRAS Casa da Família (Belmiro Braga),CRAS,"Rua Joana Claudina, 329",Centro,36126-000,(32) 32841198,assistenciasocialbb@yahoo.com.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Alto Vera Cruz (Belo Horizonte),CRAS,"Rua Padre Júlio Maria, 1550",Alto Vera Cruz,30285-360,(31) 988660839,cras.altoveracruz@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Apolônia (Belo Horizonte),CRAS,"Rua Visconde de Itaboraí, 304",Jardim Leblon,31540-460,(31) 32771816,cras.apolonia@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Arthur de Sá (Belo Horizonte),CRAS,"Rua Professor Geraldo Fontes, 30",União,31170-540,(31) 32779155,cras.arthurdesa@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Cabana do Pai Tomás (Belo Horizonte),CRAS,"Avenida Capim Branco, 231",Vista Alegre,30518-020,(31) 980211931,crascabana@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Confisco (Belo Horizonte),CRAS,"Rua Cecília Magalhães Gomes (antiga Rua K), 127",Confisco,31360-510,(31) 32777146,cras.confisco@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Conjunto Paulo Vi (Belo Horizonte),CRAS,"Rua Da Neblina, 120",Conjunto Paulo Vi,31998-180,(31) 32776840,cras.paulovi@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Dandara (Belo Horizonte),CRAS,"Rua José Simplício Moreira, 1144",Trevo,31370-624,(31) 989066792,cras.dandara@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Granja de Freitas (Belo Horizonte),CRAS,"Rua Do Grupo, 12",Granja de Freitas,30285-220,(31) 32775660,cras.granjadefreitas@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Havai Ventosa (Belo Horizonte),CRAS,"Rua Manila, 432",Havaí,30575-010,(31) 32779616,cras.havaiventosa@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Independência (Belo Horizonte),CRAS,"Rua Maria Antonieta Ferreira, 151",Independência,30672-090,(31) 32462152,cras.independencia@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Jardim Felicidade (Belo Horizonte),CRAS,"Rua Cecília Trindade da Silva, 55",Jardim Felicidade,31742-533,(31) 32469503,cras.jardimfelicidade@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Lagoa (Belo Horizonte),CRAS,"Rua José Sabino Maciel, 120",Lagoa,31578-060,(31) 32469016,cras.lagoa@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Mantiqueira (Belo Horizonte),CRAS,"Rua Luzia Salomão, 300",Mantiqueira,31660-040,(31) 989136253,cras.mantiqueira@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Mariano de Abreu (Belo Horizonte),CRAS,"Rua Cinco de Janeiro, 115",Mariano de Abreu,31050-340,(31) 32775643,cras.marianodeabreu@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Morro das Pedras (Belo Horizonte),CRAS,"Avenida Silva Lobo, 2379",Nova Granada,30431-191,(31) 32777091,cras.morrodaspedras@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Novo Aarão Reis (Belo Horizonte),CRAS,"Avenida Risoleta Neves, 347",Novo Aarão Reis,31514-483,(31) 32771327,cras.novoaraoreis@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Novo Ouro Preto (Belo Horizonte),CRAS,"Rua Geraldina Cândida de Jesus, 92",Ouro Preto,31330-560,(31) 32771592,cras.novoouropreto@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Pedreira Prado Lopes (Belo Horizonte),CRAS,"Avenida José Bonifácio, 189",São Cristóvão,31210-690,(31) 989315591,cras.pedreirapradolopes@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Petrópolis (Belo Horizonte),CRAS,"Rua Frederico Boy Prussiano, 137",Petrópolis,30666-517,(31) 32779578,cras.petropolis@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Providência (Belo Horizonte),CRAS,"Rua São Sebastião, 140",Minaslândia,31810-380,(31) 32777394,cras.providencia@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Santa Rita de Cássia (Belo Horizonte),CRAS,"Rua São Tomás de Aquino, 640",Vila Santa Rita de Cássia,30330-530,(31) 989477080,cras.santaritadecassia@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Santa Rosa (Belo Horizonte),CRAS,"Rua Major Delfino de Paula, 2553",São Francisco,31255-170,(31) 988740981,cras.santarosa@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Sumaré (Belo Horizonte),CRAS,"Rua Cirilo Gaspar de Araujo, 522",Vila Sumaré,31250-130,(31) 32467552,cras.sumare@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Taquaril (Belo Horizonte),CRAS,"Rua Ludgero Felipe Ferreira, 42",Conjunto Taquaril,30290-650,(31) 989680424,cras.taquaril@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Vila Antena (Belo Horizonte),CRAS,"Rua Central, 78",Vila Antena,30451-496,(31) 988740972,crasvilaantena@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Vila Betânia (Belo Horizonte),CRAS,"Rua Demiza, 770",Betânia,30514-020,(31) 980210626,cras.vilabetania@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Vila Biquinhas (Belo Horizonte),CRAS,"Rua Coronel Joaquim Tibúrcio, 850",Heliópolis,31741-570,(31) 32468004,cras.vilabiquinhas@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Vila Califórnia (Belo Horizonte),CRAS,"Avenida Avaí, 700",Vila Califórnia,30850-230,(31) 32463045,cras.vilacalifornia@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Vila Cemig (Belo Horizonte),CRAS,"Rua Faisão, 1071",Flávio Marques Lisboa,30624-080,(31) 988660973,cras.vilacemig@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Vila Coqueiral (Belo Horizonte),CRAS,"Rua Rainha das Flores, 102",Jardim Filadelfia,30865-260,(31) 32778376,cras.coqueiral@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Vila Marçola (Belo Horizonte),CRAS,"Rua Engenheiro Lucas Júlio Proença, 73",Serra,30220-350,(31) 32465006,cras.vilamarcola@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
Belo Horizonte,CRAS Vila Maria (Belo Horizonte),CRAS,"Rua Professor Amílcar Viana Martins, 65",Jardim Vitória,31975-220,(31) 32468051,cras.vilamaria@pbh.gov.br,,cras,MDS/SAGI/CadSUAS (extração 28/06/2026)
