municipality,name,facility_type,address,neighborhood,cep,phone,email,opening_hours,categories,source
Ubá,DEAM Ubá,DEAM,"Avenida dos Ex-Combatentes, 1333",Santa Luzia,,(32) 3531-4755,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Leopoldina,DEAM Leopoldina,DEAM,"Rua José de Souza Lima, 115",Bela Vista,,(32) 3441-2489,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Muriaé,DEAM Muriaé,DEAM,"Praça João Pinheiro, s/n (Antiga Rodoviária)",Centro,,(32) 3722-4524,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Viçosa,DEAM Viçosa,DEAM,"Rua Nossa Senhora das Graças, 53",Bom Jesus,,(32) 3899-5300,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Juiz de Fora,DEAM Juiz de Fora,DEAM,"Rua Jarbas de Lery Santos, 1655 (Santa Cruz Shopping)",Centro,,(32) 3229-5822,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Iturama,DEAM Iturama,DEAM,"Avenida Alencastro, 1170",Centro,,(34) 3411-0650,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Araxá,DEAM Araxá,DEAM,"Rua Cecílio Salomão, 110",Centro,,(34) 3669-9930,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Frutal,DEAM Frutal,DEAM,"Rua Castro Alves, 250",XV de Novembro,,(34) 3423-2108,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Uberaba,DEAM Uberaba,DEAM,"Rua Luiz Próspero, 242",Parque das Américas,,(34) 3319-8366,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Campo Belo,DEAM Campo Belo,DEAM,"Avenida João Pinheiro, 301",Centro,,(35) 3832-4851,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Lavras,DEAM Lavras,DEAM,"Rua Horácio de Carvalho, 50",Centro,,(35) 3694-2137,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Varginha,DEAM Varginha,DEAM,"Rua Coronel José Alves, 159",Vila Pinto,,(35) 3221-6217,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Três Corações,DEAM Três Corações,DEAM,"Rua Edson Arantes do Nascimento, 127",Centro,,(35) 3239-6344,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Nova Serrana,DEAM Nova Serrana,DEAM,"Rua Messias Augusto da Silva, 363",Laranjeiras,,(35) 3226-2068,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Bom Despacho,DEAM Bom Despacho,DEAM,"Rua Maria Guerra, 50",Jardim América,,(37) 3521-1389,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Divinópolis,DEAM Divinópolis,DEAM,"Rua Goiás, 1983",Ipiranga,,(37) 2102-9722,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Formiga,DEAM Formiga,DEAM,"Rua Joaquim Fernandes Sobrinho, 150",Del Rey,,(37) 3329-2350,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Pará de Minas,DEAM Pará de Minas,DEAM,"Rua Afonso Pena, 55",Centro,,(37) 3231-6666,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Guanhães,DEAM Guanhães,DEAM,"Rua Capitão Bernardo, 200",Paquetá,,(33) 3421-7714,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Governador Valadares,DEAM Governador Valadares,DEAM,"Rua Arthur Bernardes, 932",Centro,,(33) 3225-6353,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Araguari,DEAM Araguari,DEAM,"Avenida Coronel Teodolino Pereira de Araújo, 860",Centro,,(34) 3249-5806,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Ituiutaba,DEAM Ituiutaba,DEAM,"Avenida Dezessete, 445",Centro,,(34) 3268-2486,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Uberlândia,DEAM Uberlândia,DEAM,"Avenida Nicomedes Alves dos Santos, 728",Lídice,,(34) 3210-8304,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Patos de Minas,DEAM Patos de Minas,DEAM,"Rua Carajás, 461",Caiçara,,(34) 3171-0921,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Patrocínio,DEAM Patrocínio,DEAM,"Avenida Faria Pereira, 3517",Marciano Brandão,,(31) 3831-6058,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Januária,DEAM Januária,DEAM,"Avenida Marechal Eurico Gaspar Dutra, 484",Centro,,(38) 3629-4833,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Taiobeiras,DEAM Taiobeiras,DEAM,"Rua Santa Rita de Cássia, 404",Centro,,(38) 3845-4603,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Janaúba,DEAM Janaúba,DEAM,"Rua Espinosa, 105",Novo Paraíso,,(38) 3829-3002,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Montes Claros,DEAM Montes Claros,DEAM,"Rua Enor de Brito, 222",Morada do Sol,,(38) 3229-4431,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Itabira,DEAM Itabira,DEAM,"Avenida Prefeito Li Guerra, 1751",Praia,,(38) 3839-2709,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Ponte Nova,DEAM Ponte Nova,DEAM,"Rua Felisberto Leopoldo, 262",Santa Tereza,,(31) 3817-8400,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
João Monlevade,DEAM João Monlevade,DEAM,"Rua Bernardino Brandão, 180",,,(31) 3852-1166,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Manhuaçu,DEAM Manhuaçu,DEAM,"Avenida Melo Viana, 222",Bom Pastor,,(31) 3331-1020,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Caratinga,DEAM Caratinga,DEAM,"Avenida João Caetano Nascimento, 717",Limoeiro,,(33) 3322-6500,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Ipatinga,DEAM Ipatinga,DEAM,"Rua Pedras Preciosas, 755",Iguaçu,,(31) 3822-9421,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Conselheiro Lafaiete,DEAM Conselheiro Lafaiete,DEAM,"Rua Narciso Junior, 380",Centro,,(31) 3769-1227,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
São João del Rei,DEAM São João del Rei,DEAM,"Rua São Francisco, 78",Vila João Lombard,,(32) 3379-1076,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Barbacena,DEAM Barbacena,DEAM,"Rua Victório Meneghin, 210",Pontilhão,,(32) 3339-3034,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Capelinha,DEAM Capelinha,DEAM,"Rua Augusto Barbosa, 52",Cidade Nova,,(33) 3516-1947,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Diamantina,DEAM Diamantina,DEAM,"Rua Magno Antônio Santana Ribeiro, 55",Cazuza,,(38) 3531-6650,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Pirapora,DEAM Pirapora,DEAM,"Avenida Benjamin Constant, 183",Santos Dumont,,(38) 3740-2929,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Curvelo,DEAM Curvelo,DEAM,"Rua Luiz Euzébio, 444",Centro,,(38) 3722-7261,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Pedra Azul,DEAM Pedra Azul,DEAM,"Praça Pacífico Faria, 404",Centro,,(33) 3751-1600,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Nanuque,DEAM Nanuque,DEAM,"Praça Teófilo Otoni, 20",Centro,,(33) 3621-9611,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Almenara,DEAM Almenara,DEAM,"Rua Lívio Fróes Otoni, 96",Centro,,(33) 3721-8510,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Teófilo Otoni,DEAM Teófilo Otoni,DEAM,"Rua Lauro Vieira Otoni, 20",Centro,,(33) 3529-3747,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Paracatu,DEAM Paracatu,DEAM,"Rua Antônio Vieira Cordeiro, 366",Bela Vista,,(38) 3311-4353,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Unaí,DEAM Unaí,DEAM,"Rua Aldeia, 865",Cachoeira,,(38) 3311-4375,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Itajubá,DEAM Itajubá,DEAM,"Rua Oliveira Marques, 189",Oriente,,(35) 3622-0814,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
São Lourenço,DEAM São Lourenço,DEAM,"Avenida Damião Junqueira de Souza, 167",Federal,,(35) 2144-5417,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Pouso Alegre,DEAM Pouso Alegre,DEAM,"Rua Silvestre Ferraz, 226",Centro,,(35) 3429-5636,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
São Sebastião do Paraíso,DEAM São Sebastião do Paraíso,DEAM,"Avenida Darcio Cantieri, 1879",Jardim América,,(35) 3539-2050,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Alfenas,DEAM Alfenas,DEAM,"Rua Dom Silvério, 338",Aparecida,,(35) 3698-1900,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Poços de Caldas,DEAM Poços de Caldas,DEAM,"Avenida Dr. Benedito David Ottoni, 527",Jardim dos Estados,,(35) 3712-9647,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Passos,DEAM Passos,DEAM,"Avenida Arouca, 753",Centro,,(35) 8403-0592,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Guaxupé,DEAM Guaxupé,DEAM,"Alameda das Rosas, 10",Parque das Orquídeas,,(35) 3559-8632,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Sete Lagoas,DEAM Sete Lagoas,DEAM,"Rua Jovelino Lanza, 1316",Jardim Arizona,,(31) 3773-9305,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
Pedro Leopoldo,DEAM Pedro Leopoldo,DEAM,"Rua Coronel Cândido Viana, 273",Centro,,(31) 3257-6900,,"Segunda a sexta, 8h30 às 12h e 14h às 18h30",deam,Relação de DEAMs e endereços - PCMG (2026)
